ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,health_system,affiliation_type,latitude,longitude,geocoded,estimated_annual_visits,estimated_medicare_visits,estimated_medicaid_visits,volume_category,quality_score,patient_satisfaction,comprehensive_score,viability_category
O20030909000032,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1700821212,N,263440,6800707225,POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,DEXTER MEDICAL CENTER,2009-04-14,MO,LLC,,P,610 N ONE MILE RD,,DEXTER,MO,638412539,Regional System,Affiliated,36.79634749136577,-89.95462506982206,True,4800,1680,1200,Low,3.5682911535937687,86.58110873500068,97.93127548787514,Strong
O20030911000017,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1407950520,N,263967,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER WILLOW SPRINGS,1923-04-19,MO,CORPORATION,,N,816 E MAIN,,WILLOW SPRINGS,MO,657931518,COXHEALTH,Affiliated,,,False,2400,840,600,Low,3.5671351232148716,82.91662693962935,100.0,Strong
O20031023000025,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1720075161,N,268904,4587576244,BURTON CREEK RURAL CLINIC LLC,,2003-07-16,MO,LLC,,P,805 N KENTUCKY AVE,,WEST PLAINS,MO,657752022,Independent,Independent,36.73652752249912,-91.85503218979804,True,7200,2520,1800,Medium,3.6209811357830173,81.24119817052156,87.60804436018424,Strong
O20040302001332,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1003873266,N,268584,4688561814,GOLDEN VALLEY MEMORIAL HOSPITAL DISTRICT,GOLDEN VALLEY MEDICAL-CLINTON,2019-06-10,MO,OTHER,GOVERNMENT DISTRICT HOSPITAL,N,1602 N 2ND ST,,CLINTON,MO,647351192,MEMORIAL,Affiliated,38.35893464756664,-93.77769996831222,True,1200,420,300,Low,2.8433598776711007,81.2834550926428,100.0,Strong
O20040302001348,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1366490971,N,268588,4688561814,GOLDEN VALLEY MEMORIAL HOSPITAL DISTRICT,GOLDEN VALLEY MEDICAL-WARSAW,,,OTHER,DISTRICT HOSPITAL,N,1771 COMMERCIAL ST,,WARSAW,MO,653553096,MEMORIAL,Affiliated,,,False,1200,420,300,Low,2.9375410837434837,74.87753227153085,99.23791756212702,Strong
O20040305000276,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1316995939,N,268583,4688561814,GOLDEN VALLEY MEMORIAL HOSPITAL DISTRICT,GOLDEN VALLEY MEDICAL-WINDSOR,,,OTHER,DISTRICT HOSPITAL,N,100 S TEBO ST,,WINDSOR,MO,653601161,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.5188562353795136,66.02745628514168,100.0,Strong
O20040408000048,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1871663583,N,268591,1355252891,MISSOURI DELTA MEDICAL CENTER,MISSOURI DELTA EXPRESS CARE,1942-03-30,MO,CORPORATION,,N,1008 N MAIN ST,,SIKESTON,MO,638015044,Regional System,Affiliated,36.8714521370257,-89.57932181885613,True,12800,4480,3200,High,3.293584439832788,75.75804558193727,100.0,Strong
O20040409000228,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1770504557,N,263439,3274432802,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,PINE DRIVE MEDICAL CENTRE,1969-04-01,MO,OTHER,POLITICAL SUBDIVISION,N,575 PINE DR,,STE GENEVIEVE,MO,63670,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.957123666297637,68.22838288487888,100.0,Strong
O20040501000050,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1629286976,N,268942,8123016078,COMMUNITY HEALTH CARE ASSOCIATES INC,BEYER MEDICAL GROUP,2000-10-11,MO,CORPORATION,,P,735W MAIN ST,,FREDERICKTOWN,MO,636451113,Independent,Independent,,,False,2400,840,600,Low,3.0459879622393946,84.7511973341775,75.65907158237533,Strong
O20040503001653,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1851305163,N,268586,5092622001,CAMERON REGIONAL MEDICAL CENTER INC,PLATTSBURG FAMILY MEDICINE,1963-06-28,MO,CORPORATION,,N,214 N MAIN ST,,PLATTSBURG,MO,644771238,Regional System,Affiliated,,,False,2400,840,600,Low,3.093848149332354,73.52942618497862,99.72833521582727,Strong
O20040614000165,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1669504411,N,263850,7416865845,MERCY CLINIC SPRINGFIELD COMMUNITIES,MERCY CLINIC FAMILY MEDICINE - STEELVILLE,2000-09-01,MO,CORPORATION,,N,518 PINE,,STEELVILLE,MO,655656041,MERCY,Affiliated,,,False,2400,840,600,Low,4.532824384460777,66.74502803207488,100.0,Strong
O20040614000830,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1134251929,N,263943,7416865845,MERCY CLINIC SPRINGFIELD COMMUNITIES,MERCY CLINIC - ST. JAMES,1990-10-23,MO,CORPORATION,,N,107W ELDON ST,,SAINT JAMES,MO,655591903,MERCY,Affiliated,,,False,2400,840,600,Low,3.687111849756732,71.78614158347007,100.0,Strong
O20040614000920,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1770616781,N,263813,7416865845,MERCY CLINIC SPRINGFIELD COMMUNITIES,MERCY CLINIC - ST. ROBERT,2000-09-01,MO,CORPORATION,,N,608 OLD ROUTE 66,,SAINT ROBERT,MO,655843730,MERCY,Affiliated,,,False,2400,840,600,Low,3.8337641023439617,79.12931454275625,100.0,Strong
O20040622000817,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1619030681,N,268510,345236667,COX-MONETT HOSPITAL INC,COXHEALTH CASSVILLE,1993-10-19,MO,CORPORATION,,N,75 SMITHSON DR,# A,CASSVILLE,MO,656259429,COXHEALTH,Affiliated,,,False,2400,840,600,Low,3.0876259068932717,69.36275447196024,99.28677907476911,Strong
O20040624000322,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1487616256,N,268563,2860306750,GENERAL JOHN J PERSHING MEMORIAL HOSPITAL ASSOCIATION,COMMUNITY MEDICAL ASSOCIATES,1955-11-01,MO,CORPORATION,,N,130 E LOCKLING ST,,BROOKFIELD,MO,646282337,MEMORIAL,Affiliated,,,False,2400,840,600,Low,3.5278086377374085,66.77779604433569,100.0,Strong
O20040713000525,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1538159058,N,263485,7517853781,CASS REGIONAL MEDICAL CENTER,PLEASANT HILL MEDICAL CLINIC,1981-02-05,MO,OTHER,POLITICAL SUBDIVISION,P,1601 N STATE ROUTE 7,,PLEASANT HILL,MO,640801945,Regional System,Affiliated,,,False,1200,420,300,Low,3.855461294854933,77.43687211491913,93.16553239091165,Strong
O20040713000640,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1568443711,N,268515,7517853781,CASS REGIONAL MEDICAL CENTER,HARRISONVILLE MEDICAL CLINIC,1981-02-05,MO,OTHER,POLITICAL SUBDIVISION,P,2820 E ROCK HAVEN RD,STE 210,HARRISONVILLE,MO,647014414,Regional System,Affiliated,,,False,1200,420,300,Low,3.2245032112888485,77.44966571108722,90.64297941626411,Strong
O20040721000658,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1376679423,N,268579,3870491863,OZARKS MEDICAL CENTER,OZARKS HEALTHCARE MOUNTAIN GROVE,1959-03-01,MO,CORPORATION,,N,500 E 19TH ST,STE A,MOUNTAIN GROVE,MO,657111115,OZARKS,Affiliated,37.12904687831141,-92.27197964423088,True,4000,1400,1000,Low,3.9878490091728356,69.9305682462887,100.0,Strong
O20040805000502,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1467539031,N,268568,1355255886,MADISON MEDICAL CENTER STOCKHOFF MEMORIAL NURSING HOME,MADISON MEDICAL CENTER,,,OTHER,GOVERNMENT,N,611 W MAIN ST,,FREDERICKTOWN,MO,636451111,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.4996806550405974,70.28961694381677,100.0,Strong
O20040901000838,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1215059985,N,268577,2567351570,JOHN FITZGIBBON MEMORIAL HOSPITAL INC.,FITZGIBBON PROFESSIONAL BUILDING,1961-04-12,MO,CORPORATION,,N,2305 S HIGHWAY 65,BLDG A,MARSHALL,MO,653403702,MEMORIAL,Affiliated,,,False,2400,840,600,Low,3.6541531251033614,77.32049937357637,100.0,Strong
O20040903001019,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1568574341,N,268581,8426024159,PEMISCOT COUNTY MEMORIAL HOSPITAL,PMHS CONVENIENT CARE CLINIC,,,OTHER,COUNTY GOVERNMENT,N,946 E REED ST,,HAYTI,MO,638511243,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.4991466938853013,60.51915658502676,100.0,Strong
O20040916001336,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1568412062,N,268598,6103714126,BOTHWELL REGIONAL HEALTH CENTER,BOTHWELL HEALTH CENTER-TRUMAN LAKE,,,OTHER,RHC,N,1765 COMMERCIAL ST,,WARSAW,MO,653553096,BOTHWELL,Affiliated,,,False,1200,420,300,Low,4.726139092254469,60.92536225623445,100.0,Strong
O20040928001113,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1760472922,N,268522,7517853781,CASS REGIONAL MEDICAL CENTER,ARCHIE MEDICAL CLINIC,1981-02-05,MO,OTHER,POLITICAL SUBDIVISION,P,709 E PINE ST,,ARCHIE,MO,647259215,Regional System,Affiliated,,,False,1200,420,300,Low,3.7932513876310328,67.81555778747564,91.95456132927168,Strong
O20040928001225,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1588654784,N,263458,7517853781,CASS REGIONAL MEDICAL CENTER,GARDEN CITY MEDICAL CLINIC,1981-02-05,MO,OTHER,POLITICAL SUBDIVISION,P,101 OLD HIGHWAY 7 RD,STE B,GARDEN CITY,MO,647478165,Regional System,Affiliated,,,False,1200,420,300,Low,3.27114453552205,72.86552848288153,90.37113099037636,Strong
O20041111000502,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1871539023,N,268571,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER MOUNTAIN GROVE,,,CORPORATION,,N,1602A N MAIN ST,,MOUNTAIN GROVE,MO,657111010,COXHEALTH,Affiliated,37.122534667081915,-92.25554600518592,True,4000,1400,1000,Low,4.211272456051595,78.10907565598005,100.0,Strong
O20041111000776,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1124054432,N,268531,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER BUFFALO,,,CORPORATION,,N,119 N ASH ST,,BUFFALO,MO,656228590,COXHEALTH,Affiliated,,,False,2400,840,600,Low,3.1895781750144887,89.75356216949552,100.0,Strong
O20041115000288,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1558391912,N,263451,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER SEYMOUR,,,CORPORATION,,N,202 N COMMERCIAL ST,,SEYMOUR,MO,657468858,COXHEALTH,Affiliated,,,False,2400,840,600,Low,3.9044317975023777,83.5765962320202,100.0,Strong
O20041115000368,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1972533347,N,263472,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER MARSHFIELD,1923-04-19,MO,CORPORATION,,N,1245 BANNING ST,,MARSHFIELD,MO,657061001,COXHEALTH,Affiliated,,,False,2400,840,600,Low,2.820164938060112,73.40061470036572,98.62072122227703,Strong
O20041117001261,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1295800761,N,268590,5496669962,HERMANN AREA HOSPITAL DISTRICT,SOUTHWEST MEDICAL ASSOCIATES,1983-05-31,MO,OTHER,HOSPITAL DISTRICT-POLITICAL SUBDIVISION,N,123 BAVARIAN HILLS PLZ,,HERMANN,MO,650411613,Regional System,Affiliated,,,False,1200,420,300,Low,3.1359069755507845,74.80983792097311,100.0,Strong
O20041215000227,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1922137645,N,268935,7416865845,MERCY CLINIC SPRINGFIELD COMMUNITIES,MERCY CLINIC PEDIATRICS-ROLLA,1990-10-23,MO,CORPORATION,,N,1605 MARTIN SPRINGS DR 250,,ROLLA,MO,654012980,MERCY,Affiliated,,,False,2400,840,600,Low,3.8984306179345616,64.97470635362191,100.0,Strong
O20041230000395,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1548266737,N,263849,5991763401,STEVEN CRAWFORD,DESOTO FAMILY PRACTICE,,,SOLE PROPRIETOR,,P,12 JEFFERSON SQUARE,,DE SOTO,MO,630201031,Independent,Independent,,,False,1200,420,300,Low,3.8692332899977053,74.8148686400761,77.95842002399843,Strong
O20050110000798,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1861559817,N,268593,345153680,COMMUNITY MEMORIAL HOSPITAL DISTRICT,AC RURAL HEALTH CLINIC,,,OTHER,HOSPITAL DISTRICT,N,408 E 7TH ST,BOX 97,APPLETON CITY,MO,647241617,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.885684140594985,72.11341361079862,100.0,Strong
O20050614001342,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1396827408,N,263407,2668380148,MISSOURI BAPTIST HOSPITAL OF SULLIVAN,MISSOURI BAPTIST CUBA MEDICAL OFFICE,,,CORPORATION,,N,102 OZARK DR,STE B,CUBA,MO,654531664,Regional System,Affiliated,,,False,2400,840,600,Low,3.7421758588058798,78.22718560338089,100.0,Strong
O20050818000053,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1144214974,N,268944,5395775456,COMPASSIONATE CARE LLC,FAMILY PREFERENCE HEALTHCARE CLINIC,2005-05-16,MO,LLC,,P,201 W MAIN,,MATTHEWS,MO,63867,COMPASS,Affiliated,,,False,1800,630,450,Low,3.6494481522053555,66.72769056447677,91.2705616652691,Strong
O20050830000585,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1649332156,N,268946,1951353192,CHERYL G WILLIAMS DO PC,MT. VERNON CLINIC,2002-04-12,MO,CORPORATION,,P,1011 S EAST ST,,MOUNT VERNON,MO,657121331,Independent,Independent,,,False,2400,840,600,Low,2.760739004816286,80.19346514241172,74.06230253350633,Strong
O20051205000387,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1235228222,N,263487,2668380148,MISSOURI BAPTIST HOSPITAL OF SULLIVAN,SULLIVAN MEDICAL OFFICE,,,CORPORATION,,N,965 MATTOX DR,,SULLIVAN,MO,630802365,Regional System,Affiliated,,,False,2400,840,600,Low,3.4400778958026454,90.32738913002578,100.0,Strong
O20051205000413,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1326131475,N,268527,2668380148,MISSOURI BAPTIST HOSPITAL OF SULLIVAN,BOURBON MEDICAL OFFICE,,,CORPORATION,,N,240 COLLEGE ST,,BOURBON,MO,654418308,Regional System,Affiliated,,,False,2400,840,600,Low,3.569680614520106,73.91239851543142,100.0,Strong
O20051205000439,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1487735445,N,268528,2668380148,MISSOURI BAPTIST HOSPITAL OF SULLIVAN,MISSOURI BAPTIST STEELVILLE OFFICE,,,CORPORATION,,N,510 W MAIN ST,,STEELVILLE,MO,655658102,Regional System,Affiliated,,,False,2400,840,600,Low,4.3285611131094575,79.01711722098942,100.0,Strong
O20060601000292,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1407989510,N,268611,9436052230,MOBERLY HOSPITAL COMPANY LLC,MOBERLY RURAL HEALTH CLINIC,2007-10-29,DE,LLC,,P,1501 UNION AVE,,MOBERLY,MO,652709469,Regional System,Affiliated,,,False,1800,630,450,Low,3.9718091447842303,81.90143991711112,94.07738057084804,Strong
O20060914000104,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1285687509,N,268961,3971413360,MANSFIELD CLINIC INC,PRIME CARE OF AVA,2002-05-01,MO,CORPORATION,,P,120 W LINCOLN AVE,,AVA,MO,656085567,Independent,Independent,,,False,2400,840,600,Low,2.618479922318633,70.98779528114164,72.5726992173887,Strong
O20061212000208,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1295815017,N,268616,3870491863,OZARKS MEDICAL CENTER,OZARKS HEALTHCARE MOUNTAIN VIEW,1959-03-01,MO,CORPORATION,,N,220 N ELM ST,,MOUNTAIN VIEW,MO,655488644,OZARKS,Affiliated,,,False,2400,840,600,Low,3.9620419846973975,77.24092481810416,100.0,Strong
O20061229000442,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1013993898,N,263874,8527012103,"CONWAY FAMILY CLINIC, INC.",,1996-08-29,MO,CORPORATION,,P,301 S. NEWPORT AVE,,CONWAY,MO,656838322,Independent,Independent,,,False,2400,840,600,Low,3.3074588597918417,75.12592400781794,75.74242783994917,Strong
O20070130000017,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275686883,N,268960,9537160890,"SCHEIDLER RURAL HEALTH CLINIC, LLC",,2006-09-11,MO,LLC,,P,301 SOUTH BYP,,KENNETT,MO,638573252,Independent,Independent,,,False,1800,630,450,Low,3.1615389998470205,75.97676098548831,75.24383209793692,Strong
O20070517000545,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1760500862,N,268965,1951298157,MANAGED CARE INC,,1994-03-25,MO,CORPORATION,,P,808 HUNTER AVE,SUITE 4,SIKESTON,MO,638012248,Independent,Independent,36.87232254246165,-89.59565972300274,True,12800,4480,3200,High,3.805838144420434,67.26990216144533,91.95034279382627,Strong
O20070912000019,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1053376947,N,268551,941119150,MIDWEST DIVISION - LRHC LLC,LEXINGTON MEDICAL CLINIC,,,LLC,,P,1026 MAIN ST,,LEXINGTON,MO,640671345,Independent,Independent,,,False,1800,630,450,Low,4.015499761247975,75.24510174258943,78.58650921925084,Strong
O20070912000475,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1740246693,N,268548,941119150,MIDWEST DIVISION - LRHC LLC,HIGGINSVILLE MEDICAL CLINIC,,,LLC,,P,3401 PINE ST,,HIGGINSVILLE,MO,640371877,Independent,Independent,,,False,1800,630,450,Low,3.9656400595580994,79.97998291245449,78.86055852947784,Strong
O20070912000596,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1003872185,N,268550,941119150,MIDWEST DIVISION - LRHC LLC,ODESSA MEDICAL GROUP,,,LLC,,P,316 W US HIGHWAY 40,,ODESSA,MO,640767445,Independent,Independent,,,False,1800,630,450,Low,3.080391238388681,89.51143607795042,76.27270856134977,Strong
O20071115000463,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1467424788,N,268505,3476456880,WASHINGTON COUNTY MEMORIAL HOSPITAL,AUSTIN PLAZA PRIMARY CARE,,,OTHER,GOVERNMENT ENTITY,N,108 FRIZZELL ST,STE 5,POTOSI,MO,636641593,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.6453938120743925,84.59270826085206,100.0,Strong
O20071115000602,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1598737827,N,263410,3476456880,WASHINGTON COUNTY MEMORIAL HOSPITAL,HEALTHWAY PRIMARY CARE,,,OTHER,GOVERNMENT ENTITY COUNTY HOSPITAL,N,200 HEALTH WAY DR,,POTOSI,MO,636641420,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.965631715701782,96.53182457511556,100.0,Strong
O20071119000612,AR,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1033100870,N,263405,345140448,PIGGOTT COMMUNITY HOSPITAL,CAMPBELL MEDICAL CLINIC,,,OTHER,HOSPITAL BASED/ CITY OWNED,N,413 W. GRAND AVE.,PIGGOTT COMMUNITY HOSPITAL DBA CAMPBELL MEDICAL CL,CAMPBELL,MO,639330413,Regional System,Affiliated,,,False,1200,420,300,Low,4.287772563561179,67.3265243711195,100.0,Strong
O20071120000588,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1962529644,N,268603,9436041696,TEXAS COUNTY MEMORIAL HOSPITAL,TCMH CABOOL MEDICAL CLINIC,,,OTHER,GOV'TAL ENTITY-COUNTY FACILITY,N,500 MAIN ST,,CABOOL,MO,656898104,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.560412881077355,83.72320636720679,100.0,Strong
O20071204000194,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1417049511,N,263425,9830095280,NEVADA CITY HOSPITAL,NRMC RICH HILL FAMILY MEDICAL CLINIC,1994-07-07,MO,OTHER,INDEPENDENT AND FINANCIALLY SELF-DEPENDENT,N,320 N 14TH ST,,RICH HILL,MO,647792145,Regional System,Affiliated,,,False,1200,420,300,Low,3.707170511668091,76.83342005738352,100.0,Strong
O20071204000576,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1437251634,N,268537,8426024159,PEMISCOT COUNTY MEMORIAL HOSPITAL,DOCTORS CLINIC,,,OTHER,COUNTY GOVERNMENT OWNED,N,106 W 12TH STREET,,CARUTHERSVILLE,MO,638301890,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.2468325129969857,96.89802933217672,100.0,Strong
O20071204000735,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1518065291,N,263434,8426024159,PEMISCOT COUNTY MEMORIAL HOSPITAL,PEMISCOT PRIMARY CARE CENTER,,,OTHER,COUNTY GOVERNMENT OWNED,N,907 E REED ST,,HAYTI,MO,638511242,MEMORIAL,Affiliated,,,False,1200,420,300,Low,3.2018966879596644,66.91701714644849,99.4992884664835,Strong
O20071217000346,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1730215195,N,263438,3870491863,OZARKS MEDICAL CENTER,OZARKS HEALTHCARE THAYER,1985-01-11,MO,CORPORATION,,N,1375 NETTLETON AVE,,THAYER,MO,657918740,OZARKS,Affiliated,,,False,2400,840,600,Low,4.206262911197099,66.60278157819224,100.0,Strong
O20080104000590,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1922032549,N,263498,2567351570,JOHN FITZGIBBON MEMORIAL HOSPITAL INC.,GRAND RIVER MEDICAL CENTER,,MO,CORPORATION,,N,815 E BROADWAY ST,,BRUNSWICK,MO,652361468,MEMORIAL,Affiliated,,,False,2400,840,600,Low,4.478120014285412,69.00607354555977,100.0,Strong
